scene,method,trial_index,fit_random_seed,params_json,n_total,n_clusters,cluster_count_error,n_outliers,pct_outliers,largest_cluster_ratio,fit_time_s,hg_estimated_target,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,quick_score,EMAS_HG,error,untargeted_selection_key_json,hg_expected_selection_key_json,selected_untargeted,selected_hg_expected_aware,interval_lower,interval_upper,interval_distance,pcms_strategy_id,selected_pcms,pcms_selection_key_json,ablation_id,point_target,point_target_error,selected,selection_strategy
bellevue_150th_eastgate,hdbscan,6,20262708,"{""min_cluster_size"": 320, ""min_samples"": 20}",6791,10,1,195,2.87144750404948,0.164038811400849,0.0821941000176593,9,0.734851271504616,0.372252347783846,15122.0501291765,0.676032234470296,0.881913125957989,,"[-0.7348512715046156, 0.3722523477838459, -15122.050129176521, 0.164038811400849, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]","[1.0, 2.871447504049477, -0.7348512715046156, 0.3722523477838459, -15122.050129176521, 0.164038811400849, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]",False,True,,,,,,,A3,9,1,True,A3
bellevue_150th_eastgate,optics,15,20262717,"{""max_eps"": 0.022171253230168272, ""min_samples"": 80, ""xi"": 0.07}",6791,10,1,1502,22.1175084670888,0.278502552467385,1.96812840003986,9,0.866439060687911,0.154786133328676,105644.656186804,0.639534741470015,0.852277246530995,,"[-0.8664390606879109, 0.15478613332867586, -105644.65618680386, 0.27850255246738514, ""{\""max_eps\"": 0.022171253230168272, \""min_samples\"": 80, \""xi\"": 0.07}""]","[1.0, 22.117508467088793, -0.8664390606879109, 0.15478613332867586, -105644.65618680386, 0.27850255246738514, ""{\""max_eps\"": 0.022171253230168272, \""min_samples\"": 80, \""xi\"": 0.07}""]",False,True,,,,,,,A3,9,1,True,A3
bellevue_150th_se38th,kmeans,9,20263711,"{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",2865,10,8,0,0,0.276439790575916,0.0185782999033108,18,0.821908750000132,0.371054610337697,19870.7896310757,0.461030847055386,0.714165791223913,,"[-0.8219087500001323, 0.37105461033769754, -19870.789631075662, 0.2764397905759162, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]","[8.0, -0.8219087500001323, 0.37105461033769754, -19870.789631075662, 0.2764397905759162, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",False,False,,,,,,,A3,10,0,True,A3
bellevue_150th_se38th,hdbscan,1,20263703,"{""min_cluster_size"": 80, ""min_samples"": 10}",2865,7,11,181,6.31762652705061,0.29284649776453,0.0347668000031262,18,0.725935120832691,0.581184918004578,15734.5301430092,0.421832041414557,0.602065007395811,,"[-0.7259351208326912, 0.5811849180045778, -15734.53014300923, 0.29284649776453053, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]","[11.0, 6.317626527050611, -0.7259351208326912, 0.5811849180045778, -15734.53014300923, 0.29284649776453053, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",False,True,,,,,,,A3,10,3,True,A3
bellevue_150th_se38th,optics,8,20263710,"{""max_eps"": 0.09623894321033927, ""min_samples"": 40, ""xi"": 0.07}",2865,9,9,788,27.5043630017452,0.378911892152142,0.985058000078425,18,0.870701309455996,0.151388588114325,24354.8914269465,0.399060975832137,0.637486801410178,,"[-0.8707013094559957, 0.1513885881143252, -24354.891426946462, 0.3789118921521425, ""{\""max_eps\"": 0.09623894321033927, \""min_samples\"": 40, \""xi\"": 0.07}""]","[9.0, 27.5043630017452, -0.8707013094559957, 0.1513885881143252, -24354.891426946462, 0.3789118921521425, ""{\""max_eps\"": 0.09623894321033927, \""min_samples\"": 40, \""xi\"": 0.07}""]",False,False,,,,,,,A3,10,1,True,A3
bellevue_ne8th,kmeans,8,20264710,"{""max_iter"": 300, ""n_clusters"": 9, ""n_init"": 10}",6321,9,0,0,0,0.236355007119127,0.0208040999714285,9,0.83051332505305,0.215112839571697,22918.7089580418,0.95903860737403,0.95018704920732,,"[-0.8305133250530503, 0.2151128395716973, -22918.70895804184, 0.23635500711912671, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]","[0.0, -0.8305133250530503, 0.2151128395716973, -22918.70895804184, 0.23635500711912671, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]",False,True,,,,,,,A3,9,0,True,A3
bellevue_ne8th,hdbscan,3,20264705,"{""min_cluster_size"": 160, ""min_samples"": 10}",6321,9,0,328,5.1890523651321,0.227932588019356,0.0716065000742673,9,0.761995741844503,0.380962710316216,44738.9206198358,0.941135049290384,0.927341675020742,,"[-0.7619957418445035, 0.380962710316216, -44738.920619835764, 0.22793258801935593, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]","[0.0, 5.189052365132099, -0.7619957418445035, 0.380962710316216, -44738.920619835764, 0.22793258801935593, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]",False,True,,,,,,,A3,9,0,True,A3
bellevue_ne8th,optics,12,20264714,"{""max_eps"": 0.044077065525483884, ""min_samples"": 80, ""xi"": 0.05}",6321,9,0,3994,63.1862047144439,0.328749462827675,2.16781400004402,9,0.911503036072319,0.16986930767315,182747.520119651,0.82906761298608,0.821807429880198,,"[-0.9115030360723186, 0.16986930767314956, -182747.5201196508, 0.32874946282767514, ""{\""max_eps\"": 0.044077065525483884, \""min_samples\"": 80, \""xi\"": 0.05}""]","[0.0, 63.18620471444392, -0.9115030360723186, 0.16986930767314956, -182747.5201196508, 0.32874946282767514, ""{\""max_eps\"": 0.044077065525483884, \""min_samples\"": 80, \""xi\"": 0.05}""]",False,True,,,,,,,A3,9,0,True,A3
bellevue_116th_ne12th,kmeans,9,20260711,"{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",634,10,0,0,0,0.27602523659306,0.0421304000774398,10,0.806676310149275,0.268840064346663,3165.89735429552,0.952137361537284,0.94154343122641,,"[-0.8066763101492748, 0.26884006434666297, -3165.89735429552, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]","[0.0, -0.8066763101492748, 0.26884006434666297, -3165.89735429552, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",True,True,,,,,,,A10,10,0,True,A10
bellevue_116th_ne12th,hdbscan,1,20260703,"{""min_cluster_size"": 80, ""min_samples"": 10}",634,4,6,4,0.630914826498423,0.417460317460317,0.012656099977903,10,0.714349764580777,0.420124507023133,1423.69821829347,0.456489235918519,0.613125987864171,,"[-0.7143497645807769, 0.42012450702313275, -1423.6982182934707, 0.4174603174603175, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]","[6.0, 0.6309148264984227, -0.7143497645807769, 0.42012450702313275, -1423.6982182934707, 0.4174603174603175, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",True,True,,,,,,,A10,10,6,True,A10
bellevue_116th_ne12th,optics,4,20260706,"{""max_eps"": 0.31873943664454396, ""min_samples"": 40, ""xi"": 0.05}",634,5,5,107,16.8769716088328,0.316888045540797,0.464978900039568,10,0.849173011322967,0.252177508930652,3484.04618593203,0.458613010347761,0.656876784567786,,"[-0.8491730113229672, 0.25217750893065227, -3484.0461859320326, 0.31688804554079697, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.05}""]","[5.0, 16.876971608832807, -0.8491730113229672, 0.25217750893065227, -3484.0461859320326, 0.31688804554079697, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.05}""]",False,True,,,,,,,A10,10,5,True,A10
bellevue_150th_newport,kmeans,7,20261709,"{""max_iter"": 300, ""n_clusters"": 8, ""n_init"": 10}",3101,8,4,0,0,0.36633344082554,0.0207573000807315,12,0.878160289401601,0.159410407671414,53274.8821762597,0.510400037961569,0.776858738868944,,"[-0.8781602894016014, 0.15941040767141365, -53274.88217625972, 0.36633344082554015, ""{\""max_iter\"": 300, \""n_clusters\"": 8, \""n_init\"": 10}""]","[4.0, -0.8781602894016014, 0.15941040767141365, -53274.88217625972, 0.36633344082554015, ""{\""max_iter\"": 300, \""n_clusters\"": 8, \""n_init\"": 10}""]",False,False,,,,,,,A10,8,0,True,A10
bellevue_150th_newport,hdbscan,1,20261703,"{""min_cluster_size"": 80, ""min_samples"": 10}",3101,6,6,41,1.32215414382457,0.369281045751634,0.040169300045818,12,0.894507495651366,0.144749964218252,46612.2722128851,0.477402050733912,0.692508282405212,,"[-0.8945074956513663, 0.14474996421825226, -46612.27221288506, 0.369281045751634, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]","[6.0, 1.3221541438245727, -0.8945074956513663, 0.14474996421825226, -46612.27221288506, 0.369281045751634, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",False,True,,,,,,,A10,8,2,True,A10
bellevue_150th_newport,optics,8,20261710,"{""max_eps"": 0.036343618402565836, ""min_samples"": 40, ""xi"": 0.07}",3101,7,5,248,7.99742018703644,0.383806519453207,1.08975589997135,12,0.891481886968518,0.156137125909979,155395.697644447,0.47511273379258,0.718360198889461,,"[-0.8914818869685179, 0.15613712590997922, -155395.69764444692, 0.38380651945320715, ""{\""max_eps\"": 0.036343618402565836, \""min_samples\"": 40, \""xi\"": 0.07}""]","[5.0, 7.99742018703644, -0.8914818869685179, 0.15613712590997922, -155395.69764444692, 0.38380651945320715, ""{\""max_eps\"": 0.036343618402565836, \""min_samples\"": 40, \""xi\"": 0.07}""]",False,True,,,,,,,A10,8,1,True,A10
bellevue_150th_eastgate,kmeans,8,20262710,"{""max_iter"": 300, ""n_clusters"": 9, ""n_init"": 10}",6791,9,0,0,0,0.229568546605802,0.0271330999676138,9,0.813629795835063,0.291547080037168,21968.5969197779,0.956437896748056,0.945151158364939,,"[-0.8136297958350629, 0.29154708003716817, -21968.596919777858, 0.2295685466058018, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]","[0.0, -0.8136297958350629, 0.29154708003716817, -21968.596919777858, 0.2295685466058018, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]",False,True,,,,,,,A10,9,0,True,A10
bellevue_150th_eastgate,hdbscan,6,20262708,"{""min_cluster_size"": 320, ""min_samples"": 20}",6791,10,1,195,2.87144750404948,0.164038811400849,0.0821941000176593,9,0.734851271504616,0.372252347783846,15122.0501291765,0.676032234470296,0.881913125957989,,"[-0.7348512715046156, 0.3722523477838459, -15122.050129176521, 0.164038811400849, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]","[1.0, 2.871447504049477, -0.7348512715046156, 0.3722523477838459, -15122.050129176521, 0.164038811400849, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]",False,True,,,,,,,A10,9,1,True,A10
bellevue_150th_eastgate,optics,15,20262717,"{""max_eps"": 0.022171253230168272, ""min_samples"": 80, ""xi"": 0.07}",6791,10,1,1502,22.1175084670888,0.278502552467385,1.96812840003986,9,0.866439060687911,0.154786133328676,105644.656186804,0.639534741470015,0.852277246530995,,"[-0.8664390606879109, 0.15478613332867586, -105644.65618680386, 0.27850255246738514, ""{\""max_eps\"": 0.022171253230168272, \""min_samples\"": 80, \""xi\"": 0.07}""]","[1.0, 22.117508467088793, -0.8664390606879109, 0.15478613332867586, -105644.65618680386, 0.27850255246738514, ""{\""max_eps\"": 0.022171253230168272, \""min_samples\"": 80, \""xi\"": 0.07}""]",False,True,,,,,,,A10,9,1,True,A10
bellevue_150th_se38th,kmeans,9,20263711,"{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",2865,10,8,0,0,0.276439790575916,0.0185782999033108,18,0.821908750000132,0.371054610337697,19870.7896310757,0.461030847055386,0.714165791223913,,"[-0.8219087500001323, 0.37105461033769754, -19870.789631075662, 0.2764397905759162, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]","[8.0, -0.8219087500001323, 0.37105461033769754, -19870.789631075662, 0.2764397905759162, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",False,False,,,,,,,A10,10,0,True,A10
bellevue_150th_se38th,hdbscan,1,20263703,"{""min_cluster_size"": 80, ""min_samples"": 10}",2865,7,11,181,6.31762652705061,0.29284649776453,0.0347668000031262,18,0.725935120832691,0.581184918004578,15734.5301430092,0.421832041414557,0.602065007395811,,"[-0.7259351208326912, 0.5811849180045778, -15734.53014300923, 0.29284649776453053, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]","[11.0, 6.317626527050611, -0.7259351208326912, 0.5811849180045778, -15734.53014300923, 0.29284649776453053, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",False,True,,,,,,,A10,10,3,True,A10
bellevue_150th_se38th,optics,8,20263710,"{""max_eps"": 0.09623894321033927, ""min_samples"": 40, ""xi"": 0.07}",2865,9,9,788,27.5043630017452,0.378911892152142,0.985058000078425,18,0.870701309455996,0.151388588114325,24354.8914269465,0.399060975832137,0.637486801410178,,"[-0.8707013094559957, 0.1513885881143252, -24354.891426946462, 0.3789118921521425, ""{\""max_eps\"": 0.09623894321033927, \""min_samples\"": 40, \""xi\"": 0.07}""]","[9.0, 27.5043630017452, -0.8707013094559957, 0.1513885881143252, -24354.891426946462, 0.3789118921521425, ""{\""max_eps\"": 0.09623894321033927, \""min_samples\"": 40, \""xi\"": 0.07}""]",False,False,,,,,,,A10,10,1,True,A10
bellevue_ne8th,kmeans,8,20264710,"{""max_iter"": 300, ""n_clusters"": 9, ""n_init"": 10}",6321,9,0,0,0,0.236355007119127,0.0208040999714285,9,0.83051332505305,0.215112839571697,22918.7089580418,0.95903860737403,0.95018704920732,,"[-0.8305133250530503, 0.2151128395716973, -22918.70895804184, 0.23635500711912671, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]","[0.0, -0.8305133250530503, 0.2151128395716973, -22918.70895804184, 0.23635500711912671, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]",False,True,,,,,,,A10,9,0,True,A10
bellevue_ne8th,hdbscan,3,20264705,"{""min_cluster_size"": 160, ""min_samples"": 10}",6321,9,0,328,5.1890523651321,0.227932588019356,0.0716065000742673,9,0.761995741844503,0.380962710316216,44738.9206198358,0.941135049290384,0.927341675020742,,"[-0.7619957418445035, 0.380962710316216, -44738.920619835764, 0.22793258801935593, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]","[0.0, 5.189052365132099, -0.7619957418445035, 0.380962710316216, -44738.920619835764, 0.22793258801935593, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]",False,True,,,,,,,A10,9,0,True,A10
bellevue_ne8th,optics,12,20264714,"{""max_eps"": 0.044077065525483884, ""min_samples"": 80, ""xi"": 0.05}",6321,9,0,3994,63.1862047144439,0.328749462827675,2.16781400004402,9,0.911503036072319,0.16986930767315,182747.520119651,0.82906761298608,0.821807429880198,,"[-0.9115030360723186, 0.16986930767314956, -182747.5201196508, 0.32874946282767514, ""{\""max_eps\"": 0.044077065525483884, \""min_samples\"": 80, \""xi\"": 0.05}""]","[0.0, 63.18620471444392, -0.9115030360723186, 0.16986930767314956, -182747.5201196508, 0.32874946282767514, ""{\""max_eps\"": 0.044077065525483884, \""min_samples\"": 80, \""xi\"": 0.05}""]",False,True,,,,,,,A10,9,0,True,A10
bellevue_116th_ne12th,kmeans,9,20260711,"{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",634,10,0,0,0,0.27602523659306,0.0421304000774398,10,0.806676310149275,0.268840064346663,3165.89735429552,0.952137361537284,0.94154343122641,,"[-0.8066763101492748, 0.26884006434666297, -3165.89735429552, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]","[0.0, -0.8066763101492748, 0.26884006434666297, -3165.89735429552, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",True,True,8,13,0,A6,True,"[0, -0.8066763101492748, 0.2688400643466629, -3165.89735429552, 0.2760252365930599, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",A6,,,,
bellevue_116th_ne12th,hdbscan,1,20260703,"{""min_cluster_size"": 80, ""min_samples"": 10}",634,4,6,4,0.630914826498423,0.417460317460317,0.012656099977903,10,0.714349764580777,0.420124507023133,1423.69821829347,0.456489235918519,0.613125987864171,,"[-0.7143497645807769, 0.42012450702313275, -1423.6982182934707, 0.4174603174603175, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]","[6.0, 0.6309148264984227, -0.7143497645807769, 0.42012450702313275, -1423.6982182934707, 0.4174603174603175, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",True,True,8,13,4,A6,True,"[4, 0.6309148264984227, -0.7143497645807769, 0.4201245070231327, -1423.6982182934707, 0.4174603174603175, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",A6,,,,
bellevue_116th_ne12th,optics,4,20260706,"{""max_eps"": 0.31873943664454396, ""min_samples"": 40, ""xi"": 0.05}",634,5,5,107,16.8769716088328,0.316888045540797,0.464978900039568,10,0.849173011322967,0.252177508930652,3484.04618593203,0.458613010347761,0.656876784567786,,"[-0.8491730113229672, 0.25217750893065227, -3484.0461859320326, 0.31688804554079697, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.05}""]","[5.0, 16.876971608832807, -0.8491730113229672, 0.25217750893065227, -3484.0461859320326, 0.31688804554079697, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.05}""]",False,True,8,13,3,A6,True,"[3, 16.876971608832807, -0.8491730113229672, 0.2521775089306522, -3484.0461859320326, 0.3168880455407969, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.05}""]",A6,,,,
bellevue_150th_newport,kmeans,6,20261708,"{""max_iter"": 300, ""n_clusters"": 7, ""n_init"": 10}",3101,7,5,0,0,0.36633344082554,0.0184140999335795,12,0.888957749100115,0.153095989445536,35949.2794004485,0.492842734541552,0.736204259043985,,"[-0.888957749100115, 0.15309598944553554, -35949.279400448504, 0.36633344082554015, ""{\""max_iter\"": 300, \""n_clusters\"": 7, \""n_init\"": 10}""]","[5.0, -0.888957749100115, 0.15309598944553554, -35949.279400448504, 0.36633344082554015, ""{\""max_iter\"": 300, \""n_clusters\"": 7, \""n_init\"": 10}""]",True,False,7,13,0,A6,True,"[0, -0.888957749100115, 0.1530959894455355, -35949.279400448504, 0.3663334408255401, ""{\""max_iter\"": 300, \""n_clusters\"": 7, \""n_init\"": 10}""]",A6,,,,
bellevue_150th_newport,hdbscan,1,20261703,"{""min_cluster_size"": 80, ""min_samples"": 10}",3101,6,6,41,1.32215414382457,0.369281045751634,0.040169300045818,12,0.894507495651366,0.144749964218252,46612.2722128851,0.477402050733912,0.692508282405212,,"[-0.8945074956513663, 0.14474996421825226, -46612.27221288506, 0.369281045751634, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]","[6.0, 1.3221541438245727, -0.8945074956513663, 0.14474996421825226, -46612.27221288506, 0.369281045751634, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",False,True,7,13,1,A6,True,"[1, 1.3221541438245727, -0.8945074956513663, 0.1447499642182522, -46612.27221288506, 0.369281045751634, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",A6,,,,
bellevue_150th_newport,optics,8,20261710,"{""max_eps"": 0.036343618402565836, ""min_samples"": 40, ""xi"": 0.07}",3101,7,5,248,7.99742018703644,0.383806519453207,1.08975589997135,12,0.891481886968518,0.156137125909979,155395.697644447,0.47511273379258,0.718360198889461,,"[-0.8914818869685179, 0.15613712590997922, -155395.69764444692, 0.38380651945320715, ""{\""max_eps\"": 0.036343618402565836, \""min_samples\"": 40, \""xi\"": 0.07}""]","[5.0, 7.99742018703644, -0.8914818869685179, 0.15613712590997922, -155395.69764444692, 0.38380651945320715, ""{\""max_eps\"": 0.036343618402565836, \""min_samples\"": 40, \""xi\"": 0.07}""]",False,True,7,13,0,A6,True,"[0, 7.99742018703644, -0.8914818869685179, 0.1561371259099792, -155395.69764444692, 0.3838065194532071, ""{\""max_eps\"": 0.036343618402565836, \""min_samples\"": 40, \""xi\"": 0.07}""]",A6,,,,
bellevue_150th_eastgate,kmeans,10,20262712,"{""max_iter"": 300, ""n_clusters"": 11, ""n_init"": 10}",6791,11,2,0,0,0.229568546605802,0.0253864000551402,9,0.819307164876336,0.260767254927457,40368.5211450067,0.591000227317007,0.836214173272999,,"[-0.819307164876336, 0.26076725492745684, -40368.521145006656, 0.2295685466058018, ""{\""max_iter\"": 300, \""n_clusters\"": 11, \""n_init\"": 10}""]","[2.0, -0.819307164876336, 0.26076725492745684, -40368.521145006656, 0.2295685466058018, ""{\""max_iter\"": 300, \""n_clusters\"": 11, \""n_init\"": 10}""]",True,False,7,11,0,A6,True,"[0, -0.819307164876336, 0.2607672549274568, -40368.521145006656, 0.2295685466058018, ""{\""max_iter\"": 300, \""n_clusters\"": 11, \""n_init\"": 10}""]",A6,,,,
bellevue_150th_eastgate,hdbscan,6,20262708,"{""min_cluster_size"": 320, ""min_samples"": 20}",6791,10,1,195,2.87144750404948,0.164038811400849,0.0821941000176593,9,0.734851271504616,0.372252347783846,15122.0501291765,0.676032234470296,0.881913125957989,,"[-0.7348512715046156, 0.3722523477838459, -15122.050129176521, 0.164038811400849, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]","[1.0, 2.871447504049477, -0.7348512715046156, 0.3722523477838459, -15122.050129176521, 0.164038811400849, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]",False,True,7,11,0,A6,True,"[0, 2.871447504049477, -0.7348512715046156, 0.3722523477838459, -15122.05012917652, 0.164038811400849, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]",A6,,,,
bellevue_150th_eastgate,optics,11,20262713,"{""max_eps"": 0.022171253230168272, ""min_samples"": 80, ""xi"": 0.05}",6791,11,2,1257,18.5097923722574,0.266172750271052,1.95559100003447,9,0.862442926749069,0.170902010159707,99713.3312206692,0.555520741482492,0.803778418621373,,"[-0.8624429267490686, 0.17090201015970663, -99713.33122066919, 0.2661727502710517, ""{\""max_eps\"": 0.022171253230168272, \""min_samples\"": 80, \""xi\"": 0.05}""]","[2.0, 18.5097923722574, -0.8624429267490686, 0.17090201015970663, -99713.33122066919, 0.2661727502710517, ""{\""max_eps\"": 0.022171253230168272, \""min_samples\"": 80, \""xi\"": 0.05}""]",False,False,7,11,0,A6,True,"[0, 18.5097923722574, -0.8624429267490686, 0.1709020101597066, -99713.3312206692, 0.2661727502710517, ""{\""max_eps\"": 0.022171253230168272, \""min_samples\"": 80, \""xi\"": 0.05}""]",A6,,,,
bellevue_150th_se38th,kmeans,11,20263713,"{""max_iter"": 300, ""n_clusters"": 12, ""n_init"": 10}",2865,12,6,0,0,0.276439790575916,0.0234982999972999,18,0.828871462132217,0.331271239789908,25398.461101262,0.479929108835764,0.772249099812985,,"[-0.828871462132217, 0.33127123978990775, -25398.461101262008, 0.2764397905759162, ""{\""max_iter\"": 300, \""n_clusters\"": 12, \""n_init\"": 10}""]","[6.0, -0.828871462132217, 0.33127123978990775, -25398.461101262008, 0.2764397905759162, ""{\""max_iter\"": 300, \""n_clusters\"": 12, \""n_init\"": 10}""]",True,False,8,20,0,A6,True,"[0, -0.828871462132217, 0.3312712397899077, -25398.461101262008, 0.2764397905759162, ""{\""max_iter\"": 300, \""n_clusters\"": 12, \""n_init\"": 10}""]",A6,,,,
bellevue_150th_se38th,hdbscan,1,20263703,"{""min_cluster_size"": 80, ""min_samples"": 10}",2865,7,11,181,6.31762652705061,0.29284649776453,0.0347668000031262,18,0.725935120832691,0.581184918004578,15734.5301430092,0.421832041414557,0.602065007395811,,"[-0.7259351208326912, 0.5811849180045778, -15734.53014300923, 0.29284649776453053, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]","[11.0, 6.317626527050611, -0.7259351208326912, 0.5811849180045778, -15734.53014300923, 0.29284649776453053, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",False,True,8,20,1,A6,True,"[1, 6.317626527050611, -0.7259351208326912, 0.5811849180045778, -15734.53014300923, 0.2928464977645305, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",A6,,,,
bellevue_150th_se38th,optics,4,20263706,"{""max_eps"": 0.09623894321033927, ""min_samples"": 40, ""xi"": 0.05}",2865,12,6,685,23.9092495636998,0.361009174311927,0.978905300027691,18,0.841277102458385,0.308515325958298,48391.2045384475,0.424927112360096,0.717900262346341,,"[-0.841277102458385, 0.3085153259582977, -48391.20453844755, 0.3610091743119266, ""{\""max_eps\"": 0.09623894321033927, \""min_samples\"": 40, \""xi\"": 0.05}""]","[6.0, 23.909249563699827, -0.841277102458385, 0.3085153259582977, -48391.20453844755, 0.3610091743119266, ""{\""max_eps\"": 0.09623894321033927, \""min_samples\"": 40, \""xi\"": 0.05}""]",False,True,8,20,0,A6,True,"[0, 23.909249563699827, -0.841277102458385, 0.3085153259582977, -48391.20453844755, 0.3610091743119266, ""{\""max_eps\"": 0.09623894321033927, \""min_samples\"": 40, \""xi\"": 0.05}""]",A6,,,,
bellevue_ne8th,kmeans,9,20264711,"{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",6321,10,1,0,0,0.236355007119127,0.0289320999290794,9,0.835906600056895,0.204239715535202,24499.5069746235,0.684679801896867,0.895644218947246,,"[-0.8359066000568947, 0.20423971553520234, -24499.506974623455, 0.23635500711912671, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]","[1.0, -0.8359066000568947, 0.20423971553520234, -24499.506974623455, 0.23635500711912671, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",True,False,9,10,0,A6,True,"[0, -0.8359066000568947, 0.2042397155352023, -24499.50697462345, 0.2363550071191267, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",A6,,,,
bellevue_ne8th,hdbscan,3,20264705,"{""min_cluster_size"": 160, ""min_samples"": 10}",6321,9,0,328,5.1890523651321,0.227932588019356,0.0716065000742673,9,0.761995741844503,0.380962710316216,44738.9206198358,0.941135049290384,0.927341675020742,,"[-0.7619957418445035, 0.380962710316216, -44738.920619835764, 0.22793258801935593, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]","[0.0, 5.189052365132099, -0.7619957418445035, 0.380962710316216, -44738.920619835764, 0.22793258801935593, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]",False,True,9,10,0,A6,True,"[0, 5.189052365132099, -0.7619957418445035, 0.380962710316216, -44738.92061983576, 0.2279325880193559, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]",A6,,,,
